id_topico,token,relevancia
1,olmeca dos,0.3808758321650623
1,supervisa acciones,0.37997614551440506
1,méxico,0.37759789294994806
1,explotación desmedida,0.37609714644678266
1,desmedida recursos,0.37609714644678266
1,desmedida,0.37609714644678266
1,permitirá explotación,0.37609714644678266
1,auténtica democracia,0.3758732980515371
1,auténtica,0.3758732980515371
1,mayores país,0.3730042519816221
1,completarse,0.3730042519816221
1,país completarse,0.3730042519816221
1,completarse destaca,0.3730042519816221
1,inaugurará 2023,0.37288267003318204
1,oaxaca afectados,0.3683522160158423
1,presidente visitará,0.3683522160158423
1,visitará municipios,0.3683522160158423
1,municipios,0.36738415366838
1,profeco,0.3662042304468054
1,etapa refinería,0.36459796281381435
1,democracia presidente,0.3639159282864463
1,méxico permitirá,0.3600511851121244
1,recursos presidente,0.3600511851027716
