id_token,token
compromisos,4519
infraestructura,10687
nayarit,13744
sict,19069
tepic,19788
guadalupe,9707
ocotán,14227
presidente destaca,15811
destaca cumplimiento,6378
cumplimiento compromisos,5733
compromisos infraestructura,4533
infraestructura nayarit,10703
nayarit sict,13759
sict concluye,19070
concluye carretera,4666
carretera tepic,3692
tepic guadalupe,19789
guadalupe ocotán,9709
atención,2214
médica,13225
migrantes,12840
víctimas,21088
incendio,10451
chihuahua,4013
supervisa atención,19532
atención médica,2238
médica migrantes,13233
migrantes víctimas,12856
víctimas incendio,21099
incendio chihuahua,10453
creación,5490
consejo,4912
proteger,16572
reforma,17460
instituto,10896
anuncia creación,1715
creación consejo,5492
consejo proteger,4915
proteger migrantes,16576
migrantes reforma,12850
reforma instituto,17473
instituto nacional,10899
nacional migración,13634
garantiza,9236
heridos,9901
albergue,1347
presidente garantiza,15874
garantiza atención,9240
migrantes heridos,12846
heridos incendio,9902
incendio albergue,10452
albergue chihuahua,1348
estabilidad,7988
financiera,8785
política,15323
méxico estabilidad,13378
estabilidad financiera,7990
financiera política,8789
política presidente,15339
campeona,3555
mexicana,12720
artes,2106
marciales,12234
mixtas,13020
alexa,1400
grasso,9656
reúne campeona,18189
campeona mexicana,3556
mexicana artes,12722
artes marciales,2109
marciales mixtas,12235
mixtas alexa,13021
alexa grasso,1401
participa,14616
cumbre,5693
democracia,6098
2023,334
verdadera,20831
triunfe,20326
poder,15276
presidente participa,15950
participa cumbre,14619
cumbre democracia,5699
democracia 2023,6099
2023 llama,344
llama verdadera,11851
verdadera triunfe,20832
triunfe poder,20327
mexicanas,12741
atendidas,2284
programas,16429
familias mexicanas,8501
mexicanas atendidas,12742
atendidas programas,2285
programas bienestar,16432
bienestar destaca,3151
destaca presidente,6412
envía,7740
condolencias,4706
familiares,8477
investigación,11133
fondo,8876
presidente envía,15839
envía condolencias,7743
condolencias familiares,4708
familiares víctimas,8491
víctimas chihuahua,21090
chihuahua garantiza,4021
garantiza investigación,9253
investigación fondo,11140
fondo incendio,8882
albergue migrantes,1350
médicos,13247
especialistas,7948
medicamentos,12516
incorporados,10499
aumenta cobertura,2369
cobertura médicos,4226
médicos especialistas,13254
especialistas abasto,7949
abasto medicamentos,692
medicamentos incorporados,12531
incorporados plan,10500
recupera,17284
43,489
piezas,15113
devueltas,6519
italia,11213
próxima,16670
subasta,19420
cultural,5672
francia,9038
méxico recupera,13467
recupera 43,17285
43 piezas,494
piezas arqueológicas,15114
arqueológicas devueltas,2062
devueltas italia,6520
italia alertan,11214
alertan próxima,1399
próxima subasta,16672
subasta patrimonio,19428
patrimonio cultural,14710
cultural francia,5677
lamenta,11535
fallecimiento,8448
ciudad,4115
juárez,11418
atiende,2309
caso,3737
presidente lamenta,15917
lamenta fallecimiento,11540
fallecimiento migrantes,8455
migrantes albergue,12841
albergue ciudad,1349
ciudad juárez,4116
juárez gobierno,11426
méxico atiende,13302
atiende caso,2313
comparte,4381
carta,3701
pedro,14816
castillo,3766
envió,7738
prisión,16265
perú,15019
presidente comparte,15773
comparte carta,4382
carta pedro,3706
pedro castillo,14817
castillo envió,3768
envió prisión,7739
prisión perú,16266
terrenos,19839
aifa,1324
abastecerá,678
estado,8025
agua terrenos,1289
terrenos aifa,19840
aifa abastecerá,1325
abastecerá ciudad,680
ciudad méxico,4118
méxico estado,13381
estado méxico,8041
pruebas,16660
vías,21086
férreas,9196
podrían,15304
iniciar,10760
abril,716
pruebas vías,16663
vías férreas,21087
férreas tren,9198
maya podrían,12385
podrían iniciar,15305
iniciar abril,10761
abril anuncia,719
ejidos,7154
comunidades,4565
participan,14636
corredor,5421
biológico,3279
ejidos comunidades,7155
comunidades participan,4574
participan consolidación,14638
consolidación corredor,4933
corredor biológico,5422
