id_documento,titulo,fecha
94,INAH rescatará más de 11 mil vestigios en tramo 7 del Tren Maya; concluyen trabajos de prospección en toda la ruta,14.03.2023
95,Presidente lamenta fallecimiento del primer actor, Ignacio López Tarso,14.03.2023
96,Presidente supervisa la futura ruta electrificada del Tren Maya,14.03.2023
97,Consulados de México exhibirán intenciones electoreras de republicanos en Estados Unidos, anuncia presidente,14.03.2023
98,Sedena realiza labores de inteligencia para brindar seguridad a la población, afirma presidente,14.03.2023
99,Presidente supervisa con autoridades de EE.UU. tráfico de armas y fentanilo; respetarán soberanía de México, afirma,14.03.2023
100,Gobierno de México reclama bienes de procedencia ilícita de Genaro García Luna; UIF revela operaciones financieras,09.03.2023
101,Presidente celebra diálogo entre Gobierno de México y Organización de Países Exportadores de Petróleo,09.03.2023
102,Presidente presenta búnker de simulación de García de Luna; “ejemplo de prepotencia y excesos”, afirma,09.03.2023
103,México no permitirá intervención de Estados Unidos: presidente; reprueba iniciativa de republicanos,09.03.2023
104,Presidente da seguimiento a proyectos con Tesla,09.03.2023
105,La Cuarta Transformación es feminista, afirma presidente en Día Internacional de las Mujeres,09.03.2023
106,Presidente demanda transparentar fideicomisos del INE y Poder Judicial de la Federación,09.03.2023
107,Mujeres son motor de la transformación: presidente; líder de maquinistas del Tren Maya será la primera en conducirlo, anuncia,09.03.2023
108,Gobierno de México propone análisis de maíz transgénico para conocer impacto en la salud: presidente,09.03.2023
109,Secretaría de Seguridad presenta convocatoria del Servicio de Protección Federal,09.03.2023
110,Presidente exhibirá búnker de simulación de Genaro García Luna,06.03.2023
111,Programas para el Bienestar benefician a más de tres millones de derechohabientes en estados de la ruta del Tren Maya,06.03.2023
112,Región Gran Calakmul será la segunda reserva de selva tropical más grande del mundo, afirma titular de Semarnat en informe del Tren Maya,06.03.2023
113,Presidente se compromete a consolidar Banco del Bienestar en todo el país en cinco meses,06.03.2023
114,Este año concluirá construcción de El Cuchillo, acueducto La Laguna y El Zapotillo para llevar agua al norte, afirma presidente,06.03.2023
115,Presidente invita a conmemorar en el Zócalo el 85 aniversario de la Expropiación Petrolera,06.03.2023
116,Democracia y respeto al voto están garantizados en modificaciones a la Ley Electoral: presidente,06.03.2023
117,Reformas a Ley Electoral reducen privilegios de altos funcionarios del INE, afirma presidente,06.03.2023
118,Presidente propone a mandatarios de América Latina cooperación para hacer frente a inflación,06.03.2023
119,Decreto presidencial garantizará permanencia del Plan de seguridad social a periodistas independientes,06.03.2023
120,Presidente celebra fortaleza del peso en sexenio de la Cuarta Transformación,02.03.2023
121,Presidente impulsa plan antiinflacionario de ayuda mutua para fomentar intercambio con América Latina,02.03.2023
122,Gobierno trabaja en beneficio del pueblo, afirma presidente en reporte de Programas para el Bienestar; llegan a más de 25 millones de personas,02.03.2023
123,México tiene la confianza de inversionistas, afirma presidente; llega al AIFA primer vuelo de carga,02.03.2023
124,Plan de Salud IMSS Bienestar incentivará a médicos especialistas para trabajar en comunidades rurales,02.03.2023
125,Secretaría de Salud reafirma: vacunación es fundamental para reducir daños por COVID-19,02.03.2023
126,Tesla llegará a Nuevo León con el compromiso de garantizar agua a la población: presidente,02.03.2023
127,Tren Maya impulsa formación académica y profesional en el sureste del país,02.03.2023
128,Tren Maya detona desarrollo del sureste con proyectos integrales de infraestructura,02.03.2023
129,Modernidad del Tren Maya se combina con intensa labor del Programa de Mejoramiento de Zonas Arqueológicas: INAH,02.03.2023
130,Compra de boletos del Tren Maya será ágil; costo está por definirse,27.02.2023
131,Pueblo del sureste se apropia del Tren Maya, afirma presidente,27.02.2023
132,Mexicanos se reconocen en Bandera Nacional aun en las diferencias, afirma presidente,27.02.2023
133,Discurso del presidente Andrés Manuel López Obrador en el Día de la Bandera,27.02.2023
134,Gobierno de México fomenta inversión con visión sustentable: presidente; no se otorgarán permisos donde no hay agua, afirma,27.02.2023
135,Presidente rinde homenaje a Francisco I. Madero en el 110 Aniversario Luctuoso,27.02.2023
136,Rescate de mineros en Coahuila podría concluir en diciembre de 2023, afirma presidente,27.02.2023
137,Principales beneficiarias de los Programas para el Bienestar son mujeres; Gobierno de México impulsa igualdad de género,27.02.2023
138,Desbloqueo de cuentas de García Luna es un agravio del Poder Judicial, afirma presidente,27.02.2023
139,México garantiza derecho de asilo a quien lo solicite: presidente; fija postura ante situación en Nicaragua,27.02.2023
140,Incidencia delictiva se mantiene a la baja; Tianguis del Bienestar y regularización de vehículos benefician a comunidades,21.02.2023
141,Presidente celebra 90 años de Banobras; institución contribuye a obras estratégicas de la Cuarta Transformación,21.02.2023
142,Presidente dialoga sobre migración, seguridad y comercio con legisladores de Estados Unidos,21.02.2023
143,Empresas no deben comprometer abasto de agua para uso doméstico: presidente; es necesario descentralizar desarrollo y ordenar crecimiento, afirma,21.02.2023
144,Sedena impulsa desarrollo de obras estratégicas en el sureste; presentan reporte semanal de tramos 5,6 y 7 del Tren Maya,21.02.2023
145,Vialidad Principal mejora conectividad hacia el Aeropuerto Internacional Felipe Ángeles,21.02.2023
146,Presidente destaca labor del Ejército Mexicano en construcción de paz y bienestar del pueblo; conmemora 110 aniversario,21.02.2023
147,Discurso del presidente Andrés Manuel López Obrador en el Día del Ejército Mexicano,21.02.2023
148,Presidente constata avances del Plan de Justicia para el Pueblo Yaqui; agua y restitución de tierras son prioridad, indica,21.02.2023
149,Presidente decreta nacionalización del litio,21.02.2023
150,Presidente inaugura modernización del camino Agua Prieta-Bavispe en Sonora; anuncia carretera a Nuevo Casas Grandes,18.02.2023
